run_id,stage,axis,level,scenario_key,seed,system,status,fail_reason,divergence_time_s,talk,noise_type,snr_db,ser_db,rt60_target_s,rt60_achieved_echo_s,rt60_achieved_near_s,speaker_mic_distance_m,absorption_calibrated,absorption_sabine_init,filter_length_ms,mu,frame_size,int16_scale,int16_headroom_db,erle_steady_state_db,erle_n_valid_frames,convergence_time_s,converged,segsnr_db,stoi,pesq_wb,lsd_db,misalignment_final_db,audibility_fraction,audibility_excess_db,audibility_n_units,audibility_fraction_traj,audibility_fraction_interp,recon_err_db,recon_err_interp_db,speex_tworun_erle_diff_db,mu_q15,delta_q30,coeff_bits,n_stall_events,stall_first_time_s,n_tap_stalls,n_sat_total,n_sat_y,n_sat_err,n_sat_gain,n_sat_coeff,n_sat_coeff_taps,sat_first_time_s,coeff_div_final_db,coeff_div_steady_db,far_speaker,near_speaker,wall_time_s,git_sha
a.rt60_distance.rt0.2_d0.3.s2.speex,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,2,speex,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,,160,17990.05274005171,6.0,30.047557837542037,701,5.0,True,,,,,,0.7493506493506493,20.40369808406944,15400,,,,,0.0,,,,,,,,,,,,,,,,8224,908,0.292,3fc93f4
a.rt60_distance.rt0.2_d0.3.s2.nlms_q15,a,rt60_distance,rt0.2_d0.3,rt0.2_d0.3_far_single_none_ser0,2,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.19939854000851598,0.20082043661629292,0.3,0.4927683500297412,0.5141930609005995,200.0,0.5,,17990.05274005171,6.0,18.232912729806607,701,0.0,True,,,,,-1.5597377304279767,0.9846753246753247,28.99472147531979,15400,0.9944155844155844,,-16.362351482204502,,,16384,1074,15,41066,0.5589375,511932687,32343,0,0,4824,27519,29351,0.0021875,-2.0069892406463623,-2.128352403640747,8224,908,11.681,3fc93f4
a.rt60_distance.rt0.2_d1.s0.none,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,0,none,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,,,,37998.045133333355,6.0,-6.321151489975809e-05,631,0.18000000000000002,True,,,,,,0.9712577438409451,32.03410557791393,13882,,,,,,,,,,,,,,,,,,,,,260,61,0.339,3fc93f4
a.rt60_distance.rt0.2_d1.s0.nlms_f64,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,0,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,0.5,,37998.045133333355,6.0,27.729502230998612,631,4.0,True,,,,,-15.859085315583986,0.6453681025788791,18.7826455575721,13882,0.7892954905633194,0.7161071891658263,-17.561404618740465,-22.2282953337543,,,,,,,,,,,,,,,,,260,61,5.229,3fc93f4
a.rt60_distance.rt0.2_d1.s0.speex,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,0,speex,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,,160,37998.045133333355,6.0,30.216850357484034,631,5.62,True,,,,,,0.5566200835614464,17.5939531525528,13882,,,,,0.0,,,,,,,,,,,,,,,,260,61,0.233,3fc93f4
a.rt60_distance.rt0.2_d1.s0.nlms_q15,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,0,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,0.5,,37998.045133333355,6.0,20.721110988584886,631,0.3400000000000001,True,,,,,-11.686360426173074,0.9209768044950295,19.417705922993232,13882,0.9219853047111367,,-18.190112197335058,,,16384,1074,15,98183,0.1133125,631498650,1261,0,0,1261,0,0,6.25e-05,-16.833324432373047,-18.623741149902344,260,61,10.484,3fc93f4
a.rt60_distance.rt0.2_d1.s1.none,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,1,none,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,,,,32023.18976607299,6.0,-1.988387018895285e-05,682,0.2,True,,,,,,0.973768522226672,29.266695645812284,14982,,,,,,,,,,,,,,,,,,,,,7729,1221,0.364,3fc93f4
a.rt60_distance.rt0.2_d1.s1.nlms_f64,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,1,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,0.5,,32023.18976607299,6.0,38.445216118864266,682,5.12,True,,,,,-20.88953952638804,0.5030036043251902,12.684373953365744,14982,0.6888933386730743,0.6242824723000935,-25.766260695710642,-28.081027275155886,,,,,,,,,,,,,,,,,7729,1221,5.124,3fc93f4
a.rt60_distance.rt0.2_d1.s1.speex,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,1,speex,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,,160,32023.18976607299,6.0,42.7357393575374,682,8.48,True,,,,,,0.551728741156054,13.348038103641908,14982,,,,,0.0,,,,,,,,,,,,,,,,7729,1221,0.25,3fc93f4
a.rt60_distance.rt0.2_d1.s1.nlms_q15,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,1,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,0.5,,32023.18976607299,6.0,25.712561838145245,682,2.38,True,,,,,-14.579969840069367,0.8727806701374984,15.960104672800579,14982,0.8643705780269657,,-23.757785618344908,,,16384,1074,15,128663,0.30575,702920313,1192,0,0,1192,0,0,0.00175,-18.809341430664062,-17.617712020874023,7729,1221,10.696,3fc93f4
a.rt60_distance.rt0.2_d1.s2.none,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,2,none,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,,,,51534.33086402874,6.0,2.1385037667267054e-05,639,0.98,True,,,,,,0.9641635793673411,31.023144979423023,14036,,,,,,,,,,,,,,,,,,,,,8224,908,0.343,3fc93f4
