rt60_target_s,absorption_sabine_init,rt60_achieved_sabine_init_s,absorption_calibrated,rt60_achieved_calibrated_s,reference_distance_m,tolerance_pct,max_order
0.2,0.5141930609005995,0.1870703227816416,0.4927683500297412,0.19962558834147778,1.0,3.0,28
0.4,0.25709653045029973,0.46360605601325805,0.2892335967565872,0.4012963668293653,1.0,3.0,57
0.6,0.1713976869668665,0.7486113143685363,0.20353475327315396,0.6152912272173866,1.0,3.0,85
0.8,0.12854826522514987,1.033775137303562,0.16068533153143733,0.810784639069326,1.0,3.0,114
